ProtoForm	ProtoFormGloss	Reflex	ReflexGloss	GlottologName	ACDName	GlottoCode	Latitude	Longitude	ProtoLanguage	ReflexCount
*siám	nine	siam	nine	Tagbanwa	Aborlan Tagbanwa	tagb1258	9.54263	118.497	PPh	25
*siám	nine	siam	nine	Agutaynen	Agutaynen	agut1237	10.5328	119.655	PPh	25
*siám	nine	siyám	nine	Aklanon	Aklanon	akla1240	11.55432	122.35413	PPh	25
*siám	nine	siyám	nine	Bontok	Bontok	bont1247	17.09386	121.02662	PPh	25
*siám	nine	síyam	nine	Cebuano	Cebuano	cebu1242	8.38799	124.367	PPh	25
*siám	nine	siyam	nine	Central Tagbanwa	Central Tagbanwa	cent2090	10.6519	119.338	PPh	25
*siám	nine	siyám	nine, the cardinal number	Hanunoo	Hanunóo	hanu1241	12.4159	121.221	PPh	25
*siám	nine	siyam	nine, the cardinal number	Ibaloi	Ibaloy	ibal1244	16.4263	120.695	PPh	25
*siám	nine	sa-syam	nine	Ibatan	Ibatan	ibat1238	18.9398	121.909	PPh	25
*siám	nine	hiyám	nine	Mayoyao Ifugao	Ifugaw	mayo1262	16.9984	121.29	PPh	25
*siám	nine	i-siám	to hold a novena prayer for the deceased	Iloko	Ilokano	ilok1237	15.9361	120.993	PPh	25
*siám	nine	siyām	nine	Isnag	Isneg	isna1241	18.2139	121.16	PPh	25
*siám	nine	siam	nine	Itbayat	Itbayaten	ivat1242	20.77	121.85	PPh	25
*siám	nine	siam	nine	Itbayat	Ivatan	ivat1242	20.77	121.85	PPh	25
*siám	nine	siam	nine	Calamian Tagbanwa	Kalamian Tagbanwa	cala1258	12.0716	120.094	PPh	25
*siám	nine	siám	nine	Kankanaey	Kankanaey	kank1243	16.8548	120.689	PPh	25
*siám	nine	syam	nine	Pampanga	Kapampangan	pamp1243	14.9603	120.502	PPh	25
*siám	nine	k<om>a-siám	ninth	Pangasinan	Pangasinan	pang1290	15.9377	120.365	PPh	25
*siám	nine	siám	nine	Botolan Sambal	Sambal	boto1242	15.2315	120.164	PPh	25
*siám	nine	siyam	nine	Botolan Sambal	Sambal (Botolan)	boto1242	15.2315	120.164	PPh	25
*siám	nine	siam	nine	Central Subanen	Subanen/Subanun	cent2089	8.12701	123.018	PPh	25
*siám	nine	siam	nine	Western Subanon	Subanon	west2557	7.79964	122.341	PPh	25
*siám	nine	siyam	nine	Tausug	Tausug	taus1251	5.12236	118.88	PPh	25
*siám	nine	syóm	nine	Calamian Tagbanwa	Tboli	cala1258	12.0716	120.094	PPh	25
*siám	nine	a-siam	nine (in combination)	Yami	Yami	yami1254	22.055	121.544	PPh	25
*dúyan	swinging cradle for an infant	doyan	hammock; swinging cradle for a baby (can be made from a basket, blanket, net, etc.)	Agutaynen	Agutaynen	agut1237	10.5328	119.655	PPh	24
*dúyan	swinging cradle for an infant	dúyan	hammock; cradle; to rock [a baby] to sleep	Aklanon	Aklanon	akla1240	11.55432	122.35413	PPh	24
*dúyan	swinging cradle for an infant	dúyan	cradle, hammock	Bikol	Bikol	biko1240			PPh	24
*dúyan	swinging cradle for an infant	duyan	hammock; to swing in a hammock; to rock (someone) in a hammock	Talaandig-Binukid	Binukid	binu1244	8.15933	124.892	PPh	24
*dúyan	swinging cradle for an infant	dáyun	a swing	Bontok	Bontok	bont1247	17.09386	121.02662	PPh	24
*dúyan	swinging cradle for an infant	dúyan	hammock; cradle; rock oneself in a hammock; swing back and forth; for an emotion to sway one; make a hammock	Cebuano	Cebuano	cebu1242	8.38799	124.367	PPh	24
*dúyan	swinging cradle for an infant	do:yan	hammock	Gaddang	Gaddang	gadd1244	16.5468	121.177	PPh	24
*dúyan	swinging cradle for an infant	mag-dúyan	to sleep, rest, or rock back and forth in a hammock	Hanunoo	Hanunóo	hanu1241	12.4159	121.221	PPh	24
*dúyan	swinging cradle for an infant	mag-dúyan	to rock a cradle, to swing	Hiligaynon	Hiligaynon	hili1240	10.4018	122.974	PPh	24
